#  ZA [deg]        H @ _ MHz       V @ _ MHz       H @ _ MHz       V @ _ MHz       H @ _ MHz       V @ _ MHz       H @ _ MHz       V @ _ MHz       H @ _ MHz       V @ _ MHz       H @ _ MHz       V @ _ MHz
   0               900             900             1100            1100            1285            1285            1350            1350            1500            1500            1670            1670
   0.0000000e+00   4.2291307e+00   4.1995458e+00   3.9042423e+00   3.9266037e+00   4.0574249e+00   4.1122117e+00   4.0278734e+00   4.0923548e+00   3.1599072e+00   3.1905537e+00   2.3005378e+00   2.5578915e+00
   1.0000000e+00   4.1816225e+00   4.1530094e+00   3.8537050e+00   3.8792841e+00   3.9897975e+00   4.0562508e+00   3.9579896e+00   4.0389336e+00   3.1034948e+00   3.1438533e+00   2.2809562e+00   2.5184657e+00
   2.0000000e+00   4.1373063e+00   4.1096747e+00   3.8066704e+00   3.8355936e+00   3.9266063e+00   4.0045453e+00   3.8926534e+00   3.9897109e+00   3.0507763e+00   3.1007026e+00   2.2634218e+00   2.4817969e+00
   3.0000000e+00   4.0958776e+00   4.0693328e+00   3.7627411e+00   3.7951286e+00   3.8674191e+00   3.9567019e+00   3.8314724e+00   3.9442850e+00   3.0014333e+00   3.0607211e+00   2.2476896e+00   2.4477273e+00
   4.0000000e+00   4.0571461e+00   4.0317618e+00   3.7215731e+00   3.7575366e+00   3.8118996e+00   3.9123368e+00   3.7741054e+00   3.9022327e+00   2.9551678e+00   3.0236138e+00   2.2334929e+00   2.4159665e+00
   5.0000000e+00   4.0209143e+00   3.9967556e+00   3.6829519e+00   3.7225968e+00   3.7597481e+00   3.8711622e+00   3.7201875e+00   3.8631958e+00   2.9116938e+00   2.9889826e+00   2.2206636e+00   2.3862906e+00
   6.0000000e+00   3.9869732e+00   3.9640184e+00   3.6467057e+00   3.6900537e+00   3.7106579e+00   3.8327574e+00   3.6693909e+00   3.8268490e+00   2.8708172e+00   2.9566592e+00   2.2090328e+00   2.3584908e+00
   7.0000000e+00   3.9551350e+00   3.9334231e+00   3.6126312e+00   3.6597492e+00   3.6643757e+00   3.7968806e+00   3.6214406e+00   3.7929465e+00   2.8322782e+00   2.9264145e+00   2.1984600e+00   2.3324197e+00
   8.0000000e+00   3.9252312e+00   3.9048571e+00   3.5805632e+00   3.6314222e+00   3.6207226e+00   3.7633204e+00   3.5760492e+00   3.7612413e+00   2.7958415e+00   2.8979534e+00   2.1888455e+00   2.3079897e+00
   9.0000000e+00   3.8971183e+00   3.8781684e+00   3.5503717e+00   3.6048811e+00   3.5794063e+00   3.7317304e+00   3.5329536e+00   3.7313363e+00   2.7613610e+00   2.8711065e+00   2.1800480e+00   2.2851017e+00
   1.0000000e+01   3.8706667e+00   3.8531026e+00   3.5219607e+00   3.5800156e+00   3.5401996e+00   3.7019229e+00   3.4919887e+00   3.7031932e+00   2.7287059e+00   2.8457488e+00   2.1719677e+00   2.2636418e+00
   1.1000000e+01   3.8457632e+00   3.8296084e+00   3.4952170e+00   3.5566065e+00   3.5029440e+00   3.6736986e+00   3.4529552e+00   3.6766766e+00   2.6977497e+00   2.8217119e+00   2.1645097e+00   2.2434391e+00
   1.2000000e+01   3.8222852e+00   3.8074381e+00   3.4700354e+00   3.5346433e+00   3.4674867e+00   3.6469657e+00   3.4157379e+00   3.6515840e+00   2.6684024e+00   2.7989365e+00   2.1575970e+00   2.2244430e+00
   1.3000000e+01   3.8001345e+00   3.7864661e+00   3.4462758e+00   3.5139626e+00   3.4336686e+00   3.6215111e+00   3.3802637e+00   3.6277657e+00   2.6405774e+00   2.7773142e+00   2.1511831e+00   2.2065751e+00
   1.4000000e+01   3.7792237e+00   3.7666858e+00   3.4238016e+00   3.4944383e+00   3.4013752e+00   3.5971468e+00   3.3464431e+00   3.6050981e+00   2.6141531e+00   2.7567734e+00   2.1452027e+00   2.1897888e+00
   1.5000000e+01   3.7594554e+00   3.7479161e+00   3.4025559e+00   3.4759597e+00   3.3705029e+00   3.5738604e+00   3.3142446e+00   3.5835769e+00   2.5890014e+00   2.7371592e+00   2.1395969e+00   2.1739996e+00
   1.6000000e+01   3.7407415e+00   3.7300468e+00   3.3824260e+00   3.4584118e+00   3.3409843e+00   3.5516143e+00   3.2835772e+00   3.5630256e+00   2.5650295e+00   2.7183154e+00   2.1343462e+00   2.1590752e+00
   1.7000000e+01   3.7229857e+00   3.7129463e+00   3.3632974e+00   3.4416558e+00   3.3127957e+00   3.5302702e+00   3.2543491e+00   3.5434551e+00   2.5421608e+00   2.7001957e+00   2.1294455e+00   2.1449266e+00
   1.8000000e+01   3.7060189e+00   3.6965162e+00   3.3451958e+00   3.4257573e+00   3.2858509e+00   3.5097420e+00   3.2264826e+00   3.5247985e+00   2.5203605e+00   2.6827554e+00   2.1248852e+00   2.1315039e+00
   1.9000000e+01   3.6898233e+00   3.6807779e+00   3.3280721e+00   3.4105836e+00   3.2601264e+00   3.4900223e+00   3.1998904e+00   3.5069224e+00   2.4995994e+00   2.6660030e+00   2.1206812e+00   2.1187302e+00
   2.0000000e+01   3.6743795e+00   3.6656824e+00   3.3117770e+00   3.3961829e+00   3.2356171e+00   3.4711773e+00   3.1744852e+00   3.4897649e+00   2.4798534e+00   2.6498959e+00   2.1168584e+00   2.1065489e+00
   2.1000000e+01   3.6595964e+00   3.6511660e+00   3.2963039e+00   3.3824611e+00   3.2121391e+00   3.4531022e+00   3.1500682e+00   3.4732714e+00   2.4610676e+00   2.6343569e+00   2.1134309e+00   2.0949555e+00
   2.2000000e+01   3.6453797e+00   3.6370913e+00   3.2816270e+00   3.3693387e+00   3.1896679e+00   3.4357832e+00   3.1265918e+00   3.4573459e+00   2.4430807e+00   2.6193408e+00   2.1103756e+00   2.0839408e+00
   2.3000000e+01   3.6317946e+00   3.6235811e+00   3.2676940e+00   3.3568454e+00   3.1680677e+00   3.4190789e+00   3.1039914e+00   3.4418885e+00   2.4258278e+00   2.6048055e+00   2.1076690e+00   2.0735295e+00
   2.4000000e+01   3.6189613e+00   3.6106239e+00   3.2546196e+00   3.3450496e+00   3.1473921e+00   3.4029145e+00   3.0822607e+00   3.4269423e+00   2.4091828e+00   2.5907521e+00   2.1052226e+00   2.0636989e+00
   2.5000000e+01   3.6068193e+00   3.5982158e+00   3.2423504e+00   3.3339033e+00   3.1278470e+00   3.3873640e+00   3.0616402e+00   3.4124973e+00   2.3933186e+00   2.5772042e+00   2.1030308e+00   2.0544447e+00
   2.6000000e+01   3.5952412e+00   3.5863742e+00   3.2306720e+00   3.3232738e+00   3.1092920e+00   3.3724350e+00   3.0420415e+00   3.3985590e+00   2.3781732e+00   2.5641470e+00   2.1010198e+00   2.0457128e+00
   2.7000000e+01   3.5841638e+00   3.5749276e+00   3.2195140e+00   3.3131796e+00   3.0916199e+00   3.3580333e+00   3.0233806e+00   3.3851529e+00   2.3636769e+00   2.5515564e+00   2.0991331e+00   2.0374827e+00
   2.8000000e+01   3.5736620e+00   3.5639366e+00   3.2089389e+00   3.3037020e+00   3.0748589e+00   3.3441226e+00   3.0057014e+00   3.3722748e+00   2.3499072e+00   2.5394599e+00   2.0973696e+00   2.0297930e+00
   2.9000000e+01   3.5637909e+00   3.5534548e+00   3.1989509e+00   3.2949067e+00   3.0590067e+00   3.3307313e+00   2.9889927e+00   3.3598744e+00   2.3368812e+00   2.5278570e+00   2.0957639e+00   2.0226164e+00
   3.0000000e+01   3.5546156e+00   3.5434768e+00   3.1895802e+00   3.2867671e+00   3.0440370e+00   3.3178785e+00   2.9732753e+00   3.3480175e+00   2.3246894e+00   2.5168560e+00   2.0944006e+00   2.0159664e+00
   3.1000000e+01   3.5460474e+00   3.5339630e+00   3.1809517e+00   3.2793790e+00   3.0299656e+00   3.3056781e+00   2.9584450e+00   3.3366526e+00   2.3132797e+00   2.5065205e+00   2.0933409e+00   2.0098659e+00
   3.2000000e+01   3.5381370e+00   3.5249457e+00   3.1730229e+00   3.2726276e+00   3.0166785e+00   3.2942381e+00   2.9443446e+00   3.3257467e+00   2.3025225e+00   2.4967975e+00   2.0926418e+00   2.0043139e+00
   3.3000000e+01   3.5308661e+00   3.5164073e+00   3.1656798e+00   3.2664341e+00   3.0040493e+00   3.2834971e+00   2.9310137e+00   3.3153357e+00   2.2923951e+00   2.4876371e+00   2.0923153e+00   1.9993668e+00
   3.4000000e+01   3.5242095e+00   3.5083856e+00   3.1587985e+00   3.2607113e+00   2.9920907e+00   3.2734410e+00   2.9184709e+00   3.3054502e+00   2.2829230e+00   2.4789680e+00   2.0923457e+00   1.9950171e+00
   3.5000000e+01   3.5181414e+00   3.5007705e+00   3.1524072e+00   3.2554571e+00   2.9808320e+00   3.2640412e+00   2.9067092e+00   3.2961125e+00   2.2741987e+00   2.4707256e+00   2.0926931e+00   1.9912498e+00
   3.6000000e+01   3.5127170e+00   3.4935957e+00   3.1465713e+00   3.2506009e+00   2.9702222e+00   3.2552788e+00   2.8956766e+00   3.2873350e+00   2.2662229e+00   2.4629052e+00   2.0933039e+00   1.9880490e+00
   3.7000000e+01   3.5079605e+00   3.4867716e+00   3.1413031e+00   3.2461937e+00   2.9602661e+00   3.2472049e+00   2.8853015e+00   3.2791501e+00   2.2589573e+00   2.4554567e+00   2.0941842e+00   1.9854066e+00
   3.8000000e+01   3.5038571e+00   3.4803461e+00   3.1365988e+00   3.2422714e+00   2.9509803e+00   3.2398903e+00   2.8755523e+00   3.2716010e+00   2.2524454e+00   2.4484202e+00   2.0953355e+00   1.9834158e+00
   3.9000000e+01   3.5003499e+00   3.4743221e+00   3.1324435e+00   3.2389038e+00   2.9423797e+00   3.2333438e+00   2.8664731e+00   3.2647200e+00   2.2467631e+00   2.4418501e+00   2.0967462e+00   1.9821118e+00
   4.0000000e+01   3.4973593e+00   3.4686467e+00   3.1288348e+00   3.2360582e+00   2.9346292e+00   3.2275385e+00   2.8581749e+00   3.2584772e+00   2.2419035e+00   2.4357736e+00   2.0983942e+00   1.9815264e+00
   4.1000000e+01   3.4949142e+00   3.4633354e+00   3.1257908e+00   3.2338050e+00   2.9278814e+00   3.2224978e+00   2.8507749e+00   3.2528460e+00   2.2378058e+00   2.4302387e+00   2.1002279e+00   1.9816589e+00
   4.2000000e+01   3.4930536e+00   3.4584568e+00   3.1233585e+00   3.2322328e+00   2.9221836e+00   3.2181626e+00   2.8443715e+00   3.2478866e+00   2.2344746e+00   2.4252759e+00   2.1022271e+00   1.9825079e+00
   4.3000000e+01   3.4917606e+00   3.4540788e+00   3.1215919e+00   3.2312950e+00   2.9175428e+00   3.2144242e+00   2.8390492e+00   3.2435674e+00   2.2319031e+00   2.4208722e+00   2.1043857e+00   1.9840591e+00
   4.4000000e+01   3.4909682e+00   3.4501539e+00   3.1204708e+00   3.2310210e+00   2.9139992e+00   3.2113233e+00   2.8348153e+00   3.2398146e+00   2.2300726e+00   2.4170300e+00   2.1067641e+00   1.9862745e+00
   4.5000000e+01   3.4907093e+00   3.4467552e+00   3.1199430e+00   3.2314263e+00   2.9114543e+00   3.2088200e+00   2.8316380e+00   3.2366673e+00   2.2289359e+00   2.4136729e+00   2.1094833e+00   1.9891527e+00
   4.6000000e+01   3.4909720e+00   3.4439745e+00   3.1200113e+00   3.2325042e+00   2.9098945e+00   3.2069085e+00   2.8294337e+00   3.2340616e+00   2.2283955e+00   2.4107989e+00   2.1126185e+00   1.9926924e+00
   4.7000000e+01   3.4917661e+00   3.4417811e+00   3.1206495e+00   3.2341837e+00   2.9093042e+00   3.2056488e+00   2.8281785e+00   3.2319608e+00   2.2284227e+00   2.4084551e+00   2.1162024e+00   1.9969393e+00
   4.8000000e+01   3.4930803e+00   3.4402292e+00   3.1218926e+00   3.2364821e+00   2.9096511e+00   3.2051172e+00   2.8277567e+00   3.2303684e+00   2.2290389e+00   2.4065727e+00   2.1202366e+00   2.0018966e+00
   4.9000000e+01   3.4948610e+00   3.4391395e+00   3.1237191e+00   3.2394002e+00   2.9108568e+00   3.2052592e+00   2.8281964e+00   3.2293318e+00   2.2303057e+00   2.4051666e+00   2.1246902e+00   2.0075326e+00
   5.0000000e+01   3.4972104e+00   3.4386907e+00   3.1262124e+00   3.2429796e+00   2.9129702e+00   3.2061137e+00   2.8294796e+00   3.2288268e+00   2.2323329e+00   2.4042899e+00   2.1295629e+00   2.0138679e+00
   5.1000000e+01   3.5000921e+00   3.4388323e+00   3.1293410e+00   3.2471668e+00   2.9160256e+00   3.2076437e+00   2.8316004e+00   3.2288861e+00   2.2351164e+00   2.4038963e+00   2.1348404e+00   2.0209030e+00
   5.2000000e+01   3.5035434e+00   3.4395626e+00   3.1331350e+00   3.2520192e+00   2.9199765e+00   3.2097457e+00   2.8345661e+00   3.2294782e+00   2.2386906e+00   2.4039466e+00   2.1404905e+00   2.0286672e+00
   5.3000000e+01   3.5076162e+00   3.4407699e+00   3.1375446e+00   3.2575354e+00   2.9248337e+00   3.2124318e+00   2.8383239e+00   3.2305797e+00   2.2431421e+00   2.4044202e+00   2.1464790e+00   2.0371440e+00
