J0024-7204C    0.005757  -4.98e-20     0.800      0.60       24.60      5.959805    -72.075415    305.923    -44.892  *         
J0034-0534     0.001877  4.97e-21     0.800      0.61       13.77      8.590951     -5.576839    111.492    -68.069  ELL1      
J0034-0721     0.942951  4.08e-16    56.700     11.00       11.38      8.536960     -7.364836    110.420    -69.815  *         
J0045-7042     0.632336  2.49e-15    19.000      0.11       70.00     11.357042    -70.701972    303.652    -46.418  *         
J0045-7319     0.926276  4.46e-15    20.000      0.30      105.40     11.396500    -73.317500    303.514    -43.804  BT        
J0111-7131     0.688542  7.09e-15    13.000      0.06       76.00     17.869875    -71.529667    300.669    -45.510  *         
J0131-7310     0.348124  1.76e-15     4.800      0.15      205.20     22.868792    -73.169261    298.944    -43.648  *         
J0134-2937     0.136962  7.84e-17     6.500      2.40       21.81     23.577788    -29.621364    230.251    -80.250  *         
J0151-0635     1.464665  4.43e-16    56.900      1.30       25.66     27.844588     -6.584111    160.368    -65.004  *         
J0152-1637     0.832742  1.30e-15    17.800      1.50       11.92     28.045223    -16.631386    179.305    -72.456  *         
J0206-4028     0.630550  1.20e-15     8.000      1.00       12.90     31.505283    -40.467869    258.595    -69.633  *         
J0255-5304     0.447708  3.06e-17     9.000      3.00       15.90     43.984254    -53.072600    269.862    -55.310  *         
J0304+1932     1.387584  1.30e-15    58.400      3.00       15.74     46.137979     19.547611    161.135    -33.270  *         
J0323+3944     3.032072  6.36e-16    42.700      0.90       26.01     50.860908     39.748028    152.180    -14.338  *         
J0343-3000     2.597027  5.70e-17    48.000      0.90       20.20     55.866417    -30.007639    227.758    -52.338  *         
J0401-7608     0.545253  1.54e-15    18.000     14.00       21.60     60.465333    -76.137167    290.313    -35.907  *         
J0421-0345     2.161308  1.16e-15    25.000      0.50       44.61     65.389817     -3.751836    197.504    -34.757  *         
J0437-4715     0.005757  5.73e-20     0.141    149.00        2.64     69.316180    -47.252509    253.394    -41.963  DD        
J0448-2749     0.450448  1.48e-16    10.000      0.70       26.22     72.173198    -27.829649    228.347    -37.918  *         
J0449-7031     0.479164  3.37e-15     7.900      0.14       65.83     72.273625    -70.525472    282.286    -35.512  *         
J0450-1248     0.438014  1.03e-16    19.000      0.90       37.04     72.536588    -12.801972    211.075    -32.629  *         
J0451-67       0.245454  0.00e+00     5.500      0.05       45.00     72.958333    -67.300000    278.410    -36.290  *         
J0452-1759     0.548939  5.75e-15    28.700      5.30       39.90     73.142107    -17.989825    217.078    -34.087  *         
J0456-7031     0.800132  3.67e-14     8.000      0.05      100.30     74.010417    -70.518500    282.049    -34.966  *         
J0457-6337     2.497012  2.10e-16    36.000      0.18       27.50     74.282458    -63.625111    273.816    -36.701  *         
J0459-0210     1.133076  1.40e-15    16.000      0.50       21.02     74.966422     -2.168509    201.444    -25.678  *         
J0511-6508     0.322062  2.06e-16    12.000      0.70       25.66     77.985417    -65.143472    275.250    -34.827  *         
J0519-6932     0.263212  6.97e-16     4.100      0.32      119.40     79.945487    -69.539856    280.287    -33.254  *         
J0520-2553     0.241642  3.01e-17     6.000      0.20       33.77     80.150772    -25.886748    228.434    -30.543  *         
J0522-6847     0.674532  1.77e-14    12.000      0.19      126.45     80.596083    -68.783944    279.348    -33.168  *         
J0525+1115     0.354438  7.36e-17    15.900      1.60       79.34     81.485201     11.255300    192.695    -13.246  *         
J0528+2200     3.745539  4.01e-14   185.500      9.00       50.94     82.217767     22.001111    183.856     -6.896  *         
J0529-6652     0.975725  1.55e-14    24.000      0.30      103.20     82.462167    -66.877278    276.974    -32.763  *         
J0532-6639     0.642743  5.35e-15     9.000      0.08       69.30     83.247958    -66.660361    276.675    -32.481  *         
J0534+2200     0.033085  4.23e-13     3.000     14.00       56.79     83.633221     22.014461    184.558     -5.784  *         
J0534-6703     1.817565  4.25e-13    25.000      0.08       94.70     83.650708    -67.063556    277.129    -32.279  *         
J0536-7543     1.245856  5.65e-16    75.000     13.00       17.50     84.128292    -75.732417    287.162    -30.821  *         
J0538+2817     0.143158  3.67e-15     2.700      1.90       39.57     84.604405     28.285878    179.719     -1.686  *         
J0540+3207     0.524271  4.48e-16    12.000      0.34       61.97     85.154650     32.127028    176.719      0.761  *         
J0540-6919     0.050499  4.79e-13    18.000      0.02      146.50     85.046675    -69.331714    279.717    -31.516  *         
J0543+2329     0.245975  1.54e-14     6.200      9.00       77.71     85.790250     23.484722    184.363     -3.318  *         
J0543-6851     0.708954  3.94e-15    58.000      0.22      131.00     85.969625    -68.857028    279.125    -31.235  *         
J0555-7056     0.827838  5.96e-15    27.000      0.21       73.40     88.757708    -70.946000    281.460    -30.119  *         
J0601-0527     0.395969  1.30e-15    11.600      2.50       80.54     90.495759     -5.464044    212.199    -13.481  *         
J0610-2100     0.003861  1.24e-20     0.200      0.40       60.67     92.556634    -21.007782    227.747    -18.184  BT        
J0612+3721     0.297982  5.95e-17     5.300      4.00       27.14     93.202861     37.360377    175.450      9.093  *         
J0613-0200     0.003062  9.59e-21     0.462      2.30       38.78     93.433230     -2.013104    210.413     -9.305  T2        
J0614+2229     0.334960  5.94e-14     6.900      2.20       96.91     93.571500     22.510000    188.785      2.400  *         
J0621+0336     0.269954  7.24e-18     3.440      1.00       72.59     95.296754      3.612644    206.246     -5.058  *         
J0621+1002     0.028854  4.73e-20     9.150      1.90       36.60     95.342130     10.044095    200.570     -2.013  BT        
J0623+0340     0.613760  8.84e-17    18.780      0.27       54.00     95.944829      3.668556    206.497     -4.459  *         
J0624-0424     1.039076  8.30e-16    52.000      2.00       70.83     96.083451     -4.414015    213.792     -8.036  *         
J0627+0649     0.346523  1.70e-15     6.330      1.89       86.60     96.973452      6.831703    204.166     -2.085  *         
J0627+0706     0.475877  2.98e-14     3.730      2.89      138.15     96.934062      7.109250    203.902     -1.991  *         
J0628+0909     1.241421  5.48e-16     8.000      0.06       88.30     97.150762      9.153861    202.190     -0.851  *         
J0629+2415     0.476623  2.00e-15     8.800      3.20       84.19     97.273867     24.262028    188.817      6.223  *         
J0630-0046     0.680575  3.75e-15     5.710      0.41       97.30     97.612317     -0.768292    211.220     -5.020  *         
J0630-2834     1.244419  7.12e-15    58.200     23.00       34.47     97.705852    -28.578550    236.952    -16.758  *         
J0633-2015     3.253211  3.82e-15    60.000      0.20       90.70     98.286917    -20.251972    229.260    -12.968  *         
J0636-4549     1.984597  3.17e-15    18.000      0.10       26.31     99.140600    -45.825728    254.547    -21.547  *         
J0646+0905     0.903913  7.36e-16    20.270      3.60      149.00    101.629146      9.097028    204.271      3.051  *         
J0647+0913     1.234854  6.42e-15    11.620      0.18      154.70    101.815333      9.233194    204.233      3.277  *         
J0652-0142     0.924054  1.52e-16    23.890      0.41      116.30    103.046275     -1.708417    214.538     -0.613  *         
J0656-2228     1.224754  2.67e-17    16.000      0.60       32.39    104.125862    -22.473764    233.655     -8.982  *         
J0658+0022     0.563295  9.15e-15    12.670      0.13      122.00    104.563371      0.376472    213.374      1.688  *         
J0659+1414     0.384891  5.50e-14    18.400      3.70       13.98    104.950558     14.239306    201.108      8.258  *         
J0711-6830     0.005491  1.49e-20     1.092      3.20       18.41    107.975941    -68.513222    279.531    -23.280  *         
J0719-2545     0.974725  7.28e-15    17.000      0.30      253.89    109.780750    -25.750064    238.934     -5.826  *         
J0721-2038     0.015542  4.40e-20     0.640      0.63       76.10    110.428770    -20.635295    234.669     -2.922  BT        
J0725-1635     0.424311  9.26e-17     4.100      0.33       98.98    111.251684    -16.596060    231.473     -0.330  *         
J0726-2612     3.442308  2.93e-13    31.000      0.20       69.40    111.533833    -26.210583    240.079     -4.644  *         
J0729-1448     0.251659  1.13e-13    12.500      0.70       92.30    112.318542    -14.810222    230.392      1.424  *         
J0729-1836     0.510160  1.90e-14     5.900      1.40       61.29    112.384798    -18.611875    233.760     -0.341  *         
J0733-2345     1.796250  5.70e-15    20.000      0.07      194.00    113.352500    -23.765611    238.713     -2.030  *         
J0737-2202     0.320366  5.47e-15     6.300      0.47       95.70    114.433629    -22.034811    237.685     -0.318  *         
J0737-3039A    0.022699  1.76e-18    14.300      1.60       48.92    114.463535    -30.661310    245.236     -4.505  DDS       
J0737-3039B    2.773461  8.92e-16    58.000      1.30       48.92    114.463535    -30.661310    245.236     -4.505  DD        
